x,y,z
-30637,23632,2152
-24523,22213,6291
-21928,20509,6883
-18761,19988,6112
-15258,18635,4469
-12895,16817,3162
-10628,14292,3340
-6984,11474,4043
-1937,9014,4794
3450,6741,5337
8306,4200,5420
14053,2241,5597
20448,1067,6390
26674,642,7518
31925,654,8430
32767,790,9604
32730,965,10706
32739,1844,10419
30643,2110,8772
24783,2037,6907
20141,3101,4885
16457,5499,2484
12582,8251,340
7289,11556,-2219
-478,15113,-5081
-10602,17969,-7328
-21832,21137,-8405
-31015,24747,-8316
-32768,27208,-7843
-32736,28401,-6956
-32716,28200,-4693
-32768,26286,-705
-30839,23863,2952
-25132,21971,6501
-19824,20785,6975
-16752,19025,4533
-12770,17463,3028
-9363,15832,1621
-6051,14657,758
-2786,12603,1136
935,10055,2148
5458,7423,2942
10956,4946,3936
16658,2531,5197
22831,734,6692
28823,163,8457
32767,122,9940
32767,272,10931
32702,450,11316
32644,880,10182
29717,1072,8098
24606,1201,5925
20479,2298,4206
16541,4031,2647
12462,6133,926
7866,8446,-324
2031,10231,-1176
-4395,12077,-1868
-11940,14631,-2747
-20474,17549,-3185
-28765,20494,-3158
-32768,22545,-2286
-32768,24236,-1143
-32681,25251,-225
-32768,25838,1005
-32379,25387,2535
-29847,24196,3661
-26608,22585,3781
-23270,20451,3487
-19773,18106,3342
-15664,15986,3388
-11171,14098,3336
-6062,12444,3157
-1172,10885,3097
3162,8999,3112
7011,7427,3113
11441,6322,2773
16100,5011,2572
20880,3646,2923
25926,2589,4186
30563,1705,5859
32767,1359,7732
32767,1148,9234
32719,1126,10088
32231,1167,9532
27588,1220,7684
21750,2134,5842
16341,3623,4132
11587,5335,2670
7594,7809,1074
3379,11000,-556
-1480,14215,-2166
-7424,17516,-3611
-14960,20818,-4852
-23554,23929,-5461
-30820,26324,-5380
-32768,27323,-3867
-32768,26885,-1835
-32716,25452,415
-32287,24367,3074
-28842,23652,4877
-25446,22177,4884
-21940,20678,4522
-18230,18754,4064
-14037,16366,3660
-9650,13790,3928
-5138,10897,4427
-143,8324,4846
5237,6045,4878
11135,3774,4833
18088,2484,5023
24716,1944,5579
30376,1651,6319
32767,1638,7245
32767,1633,7854
32711,1312,8058
32454,981,7720
29072,669,6729
24080,1206,5257
19631,2599,3999
15258,4350,3120
10452,6442,2061
5022,9734,322
-2381,13449,-1770
-11786,17278,-3908
-21269,21159,-5500
-29395,24695,-5879
-32768,26857,-4303
-32768,26813,-2103
-32693,26035,735
-31809,25009,4301
-27996,24484,6907
-25452,23650,6260
-22551,22636,5285
-19535,20764,4260
-16059,18572,3208
-12008,16180,3101
-7319,13514,3550
-2434,11044,4027
2178,9162,4127
6516,6868,4086
11222,4591,4101
17189,2978,4278
23238,1763,4892
28948,1200,5914
32767,1137,6888
32767,645,8009
32699,-118,8802
32749,-593,8752
30771,-426,7866
25858,360,6618
20958,1613,5528
16717,3581,4477
12476,6279,2985
7520,10086,785
1128,13871,-1406
-6388,17077,-3052
-14493,20225,-4394
-23168,23326,-4888
-30924,25419,-4240
-32768,26425,-2808
-32763,26558,-843
-32629,25578,2253
-29989,24002,5812
-25881,22696,7225
-22692,21482,7267
-19272,20132,6484
-15845,18364,5436
-12577,15855,4855
-9148,13255,4671
-4636,10693,4548
-165,8288,4584
4774,5771,4363
11065,3263,4559
17803,1600,5390
24689,916,6412
30770,561,7635
32767,263,9021
32767,-187,9980
32717,-293,9902
32530,-335,8995
29341,-414,7802
24612,96,6479
20716,1554,5090
17386,4112,3168
13262,8083,386
7675,12208,-2264
237,15927,-4615
-9778,19931,-7235
-21475,24365,-9942
-31500,28542,-10522
-32768,29553,-9567
-32683,28052,-6790
-32723,25738,-2412
-32756,22986,2221
-30311,20853,6444
-24288,20402,10536
-21179,18792,8199
-15855,17646,6696
-11897,15161,5549
-8291,12117,4890
-4117,9589,5091
